	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 2.704 	 hsa-miR-195-5p is DOWN, hsa-miR-34a-5p is not DE 	 50.00 	 2 	 CCND1 	 66.67 	 ['9', 'hsa-miR-34a-5p', 'hsa-miR-195-5p', 'CPEB3', 'HSPA1B', 'NOTCH2', 'CDK4', 'CDK6', 'E2F3', 'CCND1', 'BCL2', 'CCNE2']
Only in Control:  	 4.406 	 hsa-miR-195-5p is DOWN, hsa-miR-29b-3p is not DE 	 50.00 	 2 	 CCND2,CDC42,PIK3R1 	 42.86 	 ['7', 'hsa-miR-29b-3p', 'hsa-miR-195-5p', 'HDGF', 'PIK3R1', 'VEGFA', 'CDC42', 'CDK6', 'BCL2', 'CCND2']
Only in Control:  	 4.000 	 hsa-miR-155-5p is UP, hsa-miR-26a-5p is not DE 	 50.00 	 2 	 SMAD1,ZBTB18 	 50.00 	 ['4', 'hsa-miR-26a-5p', 'hsa-miR-155-5p', 'ZBTB18', 'UBR4', 'SMAD1', 'PTEN']
Only in Control:  	 4.000 	 hsa-miR-142-3p is UP, hsa-miR-26a-5p is not DE 	 50.00 	 2 	 C16orf70,HMGA1 	 50.00 	 ['4', 'hsa-miR-26a-5p', 'hsa-miR-142-3p', 'KLHL15', 'C16orf70', 'HMGA1', 'HMGA2']
Only in Control:  	 2.802 	 hsa-miR-155-5p is UP, hsa-miR-221-3p is not DE 	 50.00 	 2 	 MIDN 	 66.67 	 ['7', 'hsa-miR-221-3p', 'hsa-miR-155-5p', 'MIDN', 'ETS1', 'FOS', 'ZNF652', 'PTEN', 'WEE1', 'CDKN1B']
Only in Control:  	 4.011 	 hsa-miR-200b-3p is UP, hsa-miR-200c-3p is not DE 	 50.00 	 2 	 DNAJB6,FLT1,FN1,LMNB1,NCOA2,SESN1,SHCBP1 	 19.44 	 ['36', 'hsa-miR-200c-3p', 'hsa-miR-200b-3p', 'SESN1', 'CRLF3', 'LMNB1', 'TCF7L2', 'NCOA2', 'ELOC', 'UBE2D1', 'CLEC2D', 'AVPR1A', 'DENND5B', 'KIF13A', 'PHF14', 'M6PR', 'RTL8C', 'DNAJB6', 'ANKRD33B', 'NRBP1', 'SHCBP1', 'ZFHX4', 'DNAJB9', 'GPATCH8', 'RASSF8', 'PDPK1', 'CRKL', 'SEC23A', 'FLT1', 'FN1', 'KLHL42', 'VEGFA', 'DDIT4', 'NOTCH1', 'BAP1', 'DNMT3A', 'ZEB1', 'ZEB2', 'BMI1']
Only in Control:  	 3.258 	 hsa-miR-193b-5p is not DE, hsa-miR-197-3p is UP 	 50.00 	 2 	 GMPS,TMEM154 	 18.18 	 ['11', 'hsa-miR-197-3p', 'hsa-miR-193b-5p', 'MIOX', 'GPR156', 'ZNF101', 'WDPCP', 'BACE2', 'GMPS', 'DNASE2', 'HACD4', 'TMEM154', 'FBXL13', 'IFNAR1']
Only in Control:  	 5.492 	 hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN 	 50.00 	 2 	 ARHGAP12,B3GNT2,CAMSAP1,CCND1,CCND2,CCNE1,DMTF1,DNAJA1,EIF1AX,ENTPD1,EPM2AIP1,FGF2,FOXK1,FZD6,GABARAPL1,GRB2,HMGA1,HNRNPDL,KIF5B,L2HGDH,LAMP2,MAFK,NUCKS1,ODF2L,ORC4,PDE4D,PDIA6,PI4K2B,PIK3R1,PLRG1,PNISR,PPP2R5C,PRKAR2A,PSAT1,RARB,RBPJ,RCAN3,RPL14,RPRD2,RPS6KB1,SBNO1,SLC29A1,SLC39A9,SMAD7,SRSF1,STK38,USP42,USP48,WIPI2 	 22.48 	 ['218', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'AURKAIP1', 'TRAK1', 'SLC25A12', 'GPR27', 'KANK1', 'OSCAR', 'C11orf24', 'CLIP4', 'LRRFIP2', 'NUCKS1', 'RNPS1', 'USP48', 'MAP4K2', 'AP5Z1', 'PDCD1', 'GNAT1', 'SBNO1', 'NNT', 'AKR1B10', 'DMPK', 'PPIG', 'RCAN3', 'ZNF620', 'ASGR2', 'SREK1', 'ZMAT3', 'CLEC2D', 'ODF2L', 'ORC4', 'SESTD1', 'ABCC6', 'RUBCN', 'REL', 'SSRP1', 'TAF13', 'TMEM189', 'EPM2AIP1', 'CHIC1', 'CTDSPL', 'GABPA', 'GPRC5A', 'EIF1AX', 'WIPI2', 'DYNLL2', 'ZNF691', 'MSL1', 'RBPJ', 'MOB4', 'HSPE1-MOB4', 'RBBP6', 'FAM103A1', 'SLC39A9', 'L2HGDH', 'HCFC2', 'ELK4', 'GRAMD2B', 'SIK1', 'IER2', 'DCTN5', 'ENTPD1', 'SCAMP4', 'OGT', 'ZFHX4', 'MAFK', 'RARB', 'B3GNT2', 'RALGAPB', 'ZCCHC3', 'GALNT1', 'MINK1', 'GPATCH8', 'SNTB2', 'ARIH1', 'CHAC1', 'TARBP2', 'AMOTL1', 'CRIM1', 'RAD23B', 'HDGF', 'FASN', 'BTRC', 'GNAL', 'FOXK1', 'PPIL1', 'LSM11', 'TBPL1', 'PNISR', 'ATXN7L3B', 'C16orf72', 'VPS4A', 'CAMSAP1', 'PAGR1', 'EFNB2', 'DNAJA1', 'RPRD2', 'TMEM189-UBE2V1', 'CDC37L1', 'EN2', 'SZRD1', 'CPSF7', 'SOWAHC', 'RPL14', 'CASK', 'HNRNPDL', 'CDCA4', 'CYP26B1', 'STK38', 'GPR180', 'SYPL1', 'C1orf21', 'HAUS3', 'TFAP2A', 'ATAD5', 'HIGD1A', 'PDIA6', 'ASH1L', 'ATG14', 'FAM122B', 'FURIN', 'PHC3', 'SRSF1', 'KPNA1', 'DMTF1', 'MYO5A', 'HOXA3', 'SLC29A1', 'UBE2Q1', 'PHKA1', 'PRKAR2A', 'GABARAPL1', 'SNX16', 'HSPA4L', 'TLK1', 'CDK17', 'UBN2', 'TMEM245', 'LAMP2', 'USP42', 'BZW1', 'PLRG1', 'SALL1', 'AVL9', 'PI4K2B', 'IVNS1ABP', 'CEP55', 'RIMS3', 'KIF5B', 'N4BP1', 'ABL2', 'FLCN', 'RPS6KB1', 'SNRPB2', 'PDE4D', 'TNRC6B', 'PAG1', 'ZNF367', 'ACTR2', 'NUFIP2', 'YTHDC1', 'AGO2', 'GNB1', 'CBX4', 'FZD6', 'PIK3R1', 'DDX3X', 'NUP50', 'FLOT2', 'CALU', 'PRKAA1', 'ARHGAP12', 'CREBRF', 'ZNF460', 'GRB2', 'SMAD7', 'E2F7', 'AXIN2', 'SLC2A3', 'CPEB3', 'NAA25', 'SKI', 'DICER1', 'VEGFA', 'AKT3', 'ARHGDIA', 'ATG9A', 'FGF2', 'HSPA1B', 'LUZP1', 'NAPG', 'PISD', 'PPP2R5C', 'PSAT1', 'SEC24A', 'SHOC2', 'SRPRA', 'SRPRB', 'TNFSF9', 'UBE2V1', 'ZNF622', 'NOTCH2', 'TPM3', 'JARID2', 'CREBL2', 'PLAG1', 'KIF23', 'CHEK1', 'SPRED1', 'CCNE1', 'CDK1', 'CDK6', 'E2F3', 'WEE1', 'CCND1', 'BCL2', 'CDC25A', 'CCND2', 'CCNE2', 'HMGA1']
Only in Control:  	 2.929 	 hsa-miR-122-5p is not DE, hsa-miR-195-5p is DOWN 	 50.00 	 2 	 MAFK 	 22.48 	 ['5', 'hsa-miR-195-5p', 'hsa-miR-122-5p', 'REL', 'MAFK', 'SLC2A3', 'AKT3', 'CDK4']
Only in Control:  	 3.604 	 hsa-miR-195-5p is DOWN, hsa-miR-29a-3p is not DE 	 50.00 	 2 	 CCND2,CDC42 	 28.57 	 ['7', 'hsa-miR-195-5p', 'hsa-miR-29a-3p', 'HDGF', 'VEGFA', 'AKT3', 'CDC42', 'CDK6', 'BCL2', 'CCND2']
Only in Case:  	 3.057 	 hsa-miR-148b-3p is UP, hsa-miR-181a-5p is not DE 	 50.00 	 2 	 KLF6 	 22.22 	 ['3', 'hsa-miR-181a-5p', 'hsa-miR-148b-3p', 'KIF2C', 'KLF6', 'CDKN1B']
Only in Control:  	 3.604 	 hsa-miR-142-3p is UP, hsa-miR-181a-5p is not DE 	 50.00 	 2 	 SCD,TGFBR1 	 28.57 	 ['7', 'hsa-miR-181a-5p', 'hsa-miR-142-3p', 'ZFP36L2', 'KLHL15', 'SCD', 'TGFBR1', 'NSD2', 'HSPA1B', 'HMGA2']
Only in Control:  	 5.807 	 hsa-miR-155-5p is UP, hsa-miR-17-5p is not DE 	 50.00 	 2 	 CCND1,CSNK1A1,MASTL,MECP2,MIDN,RORA,ZBTB18 	 50.00 	 ['14', 'hsa-miR-17-5p', 'hsa-miR-155-5p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'GNAS', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1', 'TP53INP1']
Only in Control:  	 3.858 	 hsa-miR-17-5p is not DE, hsa-miR-491-5p is UP 	 50.00 	 2 	 TXLNA,YWHAZ 	 40.00 	 ['5', 'hsa-miR-17-5p', 'hsa-miR-491-5p', 'TXLNA', 'NACC2', 'YWHAZ', 'NFIB', 'SHOC2']
Only in Control:  	 3.195 	 hsa-miR-142-3p is UP, hsa-miR-17-5p is not DE 	 50.00 	 2 	 C16orf70,MFSD8 	 16.67 	 ['12', 'hsa-miR-17-5p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'GNAS', 'C16orf70', 'PPP1R15B']
Only in Control:  	 2.862 	 hsa-miR-155-5p is UP, hsa-miR-16-5p is not DE 	 50.00 	 2 	 CCND1 	 23.50 	 ['6', 'hsa-miR-16-5p', 'hsa-miR-155-5p', 'CALU', 'TLE4', 'SKI', 'JARID2', 'WEE1', 'CCND1']
Only in Control:  	 4.000 	 hsa-miR-142-3p is UP, hsa-miR-16-5p is not DE 	 50.00 	 2 	 HMGA1,KIF5B 	 50.00 	 ['4', 'hsa-miR-16-5p', 'hsa-miR-142-3p', 'YWHAH', 'KIF5B', 'HSPA1B', 'HMGA1']
Only in Control:  	 2.929 	 hsa-miR-16-5p is not DE, hsa-miR-376a-2-5p is DOWN 	 50.00 	 2 	 EIF1AX 	 33.33 	 ['5', 'hsa-miR-16-5p', 'hsa-miR-376a-2-5p', 'EIF1AX', 'ZCCHC3', 'PTPRJ', 'CREBRF', 'E2F7']
Only in Case:  	 4.000 	 hsa-miR-16-5p is not DE, hsa-miR-758-5p is UP 	 50.00 	 2 	 CCND1,SON 	 50.00 	 ['4', 'hsa-miR-16-5p', 'hsa-miR-758-5p', 'PPIL1', 'SON', 'ACTR2', 'CCND1']
Only in Case:  	 3.000 	 hsa-miR-140-5p is UP, hsa-miR-15b-5p is not DE 	 50.00 	 2 	 FZD6 	 50.00 	 ['4', 'hsa-miR-15b-5p', 'hsa-miR-140-5p', 'ARIH1', 'SEPT2', 'FZD6', 'VEGFA']
Only in Control:  	 3.057 	 hsa-miR-141-3p is not DE, hsa-miR-155-5p is UP 	 50.00 	 2 	 MAPK14 	 38.46 	 ['3', 'hsa-miR-155-5p', 'hsa-miR-141-3p', 'MAPK14', 'ARL5B', 'PTEN']
Only in Control:  	 4.113 	 hsa-let-7a-5p is not DE, hsa-miR-155-5p is UP 	 50.00 	 2 	 CCND1,PDE12 	 66.67 	 ['3', 'hsa-miR-155-5p', 'hsa-let-7a-5p', 'PDE12', 'KRAS', 'CCND1']
Only in Control:  	 3.858 	 hsa-miR-155-5p is UP, hsa-miR-193b-3p is not DE 	 50.00 	 2 	 CCND1,MYB 	 40.00 	 ['5', 'hsa-miR-155-5p', 'hsa-miR-193b-3p', 'PSIP1', 'ETS1', 'MYB', 'KRAS', 'CCND1']
Only in Control:  	 4.000 	 hsa-miR-155-5p is UP, hsa-miR-424-5p is not DE 	 50.00 	 2 	 CCND1,MYB 	 50.00 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-424-5p', 'JARID2', 'MYB', 'WEE1', 'CCND1']
Only in Control:  	 3.858 	 hsa-miR-155-5p is UP, hsa-miR-18a-5p is not DE 	 50.00 	 2 	 RORA,SMAD2 	 40.00 	 ['5', 'hsa-miR-155-5p', 'hsa-miR-18a-5p', 'RORA', 'GNAS', 'SMAD2', 'RAB5C', 'PTEN']
Only in Control:  	 3.000 	 hsa-miR-155-5p is UP, hsa-miR-185-5p is not DE 	 50.00 	 2 	 BACH1 	 40.00 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-185-5p', 'CHRDL1', 'MYBL1', 'BACH1', 'RHOA']
Only in Control:  	 3.000 	 hsa-miR-155-5p is UP, hsa-miR-365a-3p is not DE 	 50.00 	 2 	 CCND1 	 40.00 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-365a-3p', 'KANSL1', 'RHEBP1', 'ZNF148', 'CCND1']
Only in Control:  	 5.500 	 hsa-miR-142-3p is UP, hsa-miR-155-5p is UP 	 100.00 	 2 	 CSRP2,TWF1 	 25.00 	 ['8', 'hsa-miR-155-5p', 'hsa-miR-142-3p', 'CSRP2', 'TNPO1', 'SECISBP2', 'GNAS', 'ARL15', 'TWF1', 'APC', 'TAB2']
Only in Control:  	 4.000 	 hsa-miR-142-5p is not DE, hsa-miR-155-5p is UP 	 50.00 	 2 	 CCND1,FOXO3 	 50.00 	 ['4', 'hsa-miR-155-5p', 'hsa-miR-142-5p', 'FOXO3', 'NARS', 'CCND1', 'TP53INP1']
Only in Control:  	 5.170 	 hsa-miR-126-5p is not DE, hsa-miR-155-5p is UP 	 50.00 	 2 	 FOXO3,ZBTB18,ZNF703 	 100.00 	 ['3', 'hsa-miR-155-5p', 'hsa-miR-126-5p', 'ZNF703', 'ZBTB18', 'FOXO3']
Only in Case:  	 3.057 	 hsa-miR-101-3p is not DE, hsa-miR-148b-3p is UP 	 50.00 	 2 	 KLF6 	 42.86 	 ['3', 'hsa-miR-101-3p', 'hsa-miR-148b-3p', 'SLC38A2', 'KLF6', 'DICER1']
Only in Control:  	 2.929 	 hsa-miR-101-3p is not DE, hsa-miR-142-3p is UP 	 50.00 	 2 	 TGFBR1 	 50.00 	 ['5', 'hsa-miR-101-3p', 'hsa-miR-142-3p', 'ZFP36L2', 'TGFBR1', 'CLIC4', 'PPP1R15B', 'RAC1']
Only in Case:  	 3.604 	 hsa-miR-100-5p is not DE, hsa-miR-99a-5p is UP 	 50.00 	 2 	 IGF1R,KBTBD8 	 28.57 	 ['7', 'hsa-miR-100-5p', 'hsa-miR-99a-5p', 'SMPDL3B', 'KBTBD8', 'HOXA1', 'SMARCA5', 'MTOR', 'FGFR3', 'IGF1R']
Only in Control:  	 2.929 	 hsa-let-7a-5p is not DE, hsa-miR-142-3p is UP 	 50.00 	 2 	 HMGA1 	 66.67 	 ['5', 'hsa-let-7a-5p', 'hsa-miR-142-3p', 'WASL', 'YOD1', 'PPP1R15B', 'HMGA1', 'HMGA2']
Only in Case:  	 4.000 	 hsa-miR-148b-3p is UP, hsa-miR-20b-5p is not DE 	 50.00 	 2 	 CNOT4,KLF6 	 50.00 	 ['4', 'hsa-miR-20b-5p', 'hsa-miR-148b-3p', 'ZFYVE26', 'CNOT4', 'KLF6', 'TXNIP']
Only in Control:  	 5.057 	 hsa-miR-142-3p is UP, hsa-miR-200b-3p is UP 	 100.00 	 2 	 DNAJB6 	 50.00 	 ['3', 'hsa-miR-200b-3p', 'hsa-miR-142-3p', 'RTL8C', 'DNAJB6', 'ROCK2']
Only in Control:  	 2.862 	 hsa-miR-142-3p is UP, hsa-miR-196b-5p is not DE 	 50.00 	 2 	 HMGA1 	 22.15 	 ['6', 'hsa-miR-196b-5p', 'hsa-miR-142-3p', 'RTL8A', 'RTL8C', 'YOD1', 'PPP1R15B', 'HMGA1', 'HMGA2']
Only in Case:  	 3.057 	 hsa-miR-140-5p is UP, hsa-miR-487a-5p is not DE 	 50.00 	 2 	 FZD6 	 22.12 	 ['3', 'hsa-miR-140-5p', 'hsa-miR-487a-5p', 'IFNLR1', 'YIPF4', 'FZD6']
Only in Case:  	 2.862 	 hsa-miR-185-5p is not DE, hsa-miR-539-5p is UP 	 50.00 	 2 	 DNAJC10 	 22.12 	 ['6', 'hsa-miR-185-5p', 'hsa-miR-539-5p', 'RAB32', 'DNAJC10', 'GPR137C', 'POTED', 'ENPP5', 'SOD2']
Only in Control:  	 3.858 	 hsa-miR-299-3p is not DE, hsa-miR-491-5p is UP 	 50.00 	 2 	 HNRNPA0,TXLNA 	 40.00 	 ['5', 'hsa-miR-491-5p', 'hsa-miR-299-3p', 'SMTN', 'HNRNPA0', 'TXLNA', 'B4GALT5', 'SHOC2']
Only in Case:  	 3.409 	 hsa-miR-365a-3p is not DE, hsa-miR-365b-3p is DOWN 	 50.00 	 2 	 MYLIP,PCMTD2,YRDC,ZXDA 	 14.81 	 ['27', 'hsa-miR-365a-3p', 'hsa-miR-365b-3p', 'C7orf55-LUC7L2', 'ZXDA', 'PANK3', 'PADI3', 'KANSL1', 'UBBP4', 'ANKRD11', 'MCOLN2', 'REL', 'UBB', 'XPO4', 'YRDC', 'COMMD5', 'RHEBP1', 'PCDH10', 'ZNF148', 'LUC7L2', 'PCMTD2', 'SNRK', 'POLR1B', 'CDS2', 'KPNA1', 'NUFIP2', 'BTF3L4', 'NKIRAS2', 'TMOD3', 'MYLIP']
Only in Control:  	 4.585 	 hsa-miR-142-3p is UP, hsa-miR-92b-3p is not DE 	 50.00 	 2 	 IL6ST,KIF5B,TWF1 	 50.00 	 ['6', 'hsa-miR-142-3p', 'hsa-miR-92b-3p', 'IL6ST', 'WASL', 'KIF5B', 'KLHL15', 'TWF1', 'HMGA2']
Only in Control:  	 3.057 	 hsa-miR-142-3p is UP, hsa-miR-6880-5p is not DE 	 50.00 	 2 	 ZNF529 	 50.00 	 ['3', 'hsa-miR-142-3p', 'hsa-miR-6880-5p', 'ZNF529', 'LYRM4', 'CLIC4']
Only in Control:  	 4.585 	 hsa-miR-142-3p is UP, hsa-miR-362-3p is not DE 	 50.00 	 2 	 AFF1,IL6ST,STRBP 	 50.00 	 ['6', 'hsa-miR-142-3p', 'hsa-miR-362-3p', 'STRBP', 'MON1B', 'ATXN3', 'IL6ST', 'AFF1', 'CLIC4']
Only in Control:  	 3.000 	 hsa-miR-142-3p is UP, hsa-miR-493-5p is not DE 	 50.00 	 2 	 SCD 	 50.00 	 ['4', 'hsa-miR-142-3p', 'hsa-miR-493-5p', 'RTL8A', 'KLHL15', 'SCD', 'HMGA2']
Only in Case:  	 3.057 	 hsa-miR-539-5p is UP, hsa-miR-92b-3p is not DE 	 50.00 	 2 	 TRAM2 	 66.67 	 ['3', 'hsa-miR-92b-3p', 'hsa-miR-539-5p', 'TRAM2', 'SMG1', 'NUFIP2']
Only in Case:  	 3.604 	 hsa-miR-539-5p is UP, hsa-miR-5703 is not DE 	 50.00 	 2 	 DNAJC10,HNRNPU 	 28.57 	 ['7', 'hsa-miR-539-5p', 'hsa-miR-5703', 'ZMYM1', 'DNAJC10', 'GPR137C', 'POTED', 'HNRNPU', 'NUFIP2', 'SOD2']
Only in Control:  	 3.057 	 hsa-miR-410-3p is not DE, hsa-miR-411-5p is UP 	 50.00 	 2 	 TRIM2 	 57.14 	 ['3', 'hsa-miR-410-3p', 'hsa-miR-411-5p', 'RPSAP58', 'TRIM2', 'RAB3B']
Only in Case:  	 3.993 	 hsa-miR-146a-3p is UP, hsa-miR-3921 is not DE 	 50.00 	 2 	 ACTN4,FOXN2,SLFN5 	 30.00 	 ['10', 'hsa-miR-146a-3p', 'hsa-miR-3921', 'SLFN5', 'CD300E', 'ZFP69B', 'GADL1', 'A1CF', 'ZNF616', 'ACTN4', 'DDX3X', 'FOXN2', 'ZNF264']
Only in Control:  	 4.092 	 hsa-miR-520a-5p is UP, hsa-miR-525-5p is not DE 	 50.00 	 2 	 CALCR,HMGA1,MIDN,SETD5,SON 	 23.81 	 ['21', 'hsa-miR-520a-5p', 'hsa-miR-525-5p', 'KIAA1549', 'SYNGAP1', 'ZNF274', 'TMEM213', 'GPM6B', 'RBM4B', 'INPP4A', 'TSTD2', 'CALCR', 'CDC25B', 'RPL18A', 'CELF1', 'LDB1', 'VAV3', 'SETD5', 'SON', 'HMOX1', 'MIDN', 'ARHGAP1', 'BCL2L1', 'HMGA1']
Only in Control:  	 2.500 	 hsa-miR-485-3p is UP, hsa-miR-539-3p is not DE 	 50.00 	 2 	 NRF1 	 23.81 	 ['16', 'hsa-miR-485-3p', 'hsa-miR-539-3p', 'IFNLR1', 'TAS2R30', 'IL5RA', 'RTL6', 'NRF1', 'TCF7L2', 'TESK2', 'MGAT5', 'QSOX2', 'ANKRD33B', 'NAPEPLD', 'RREB1', 'PCGF3', 'KPNA2', 'GID4', 'GAS1']
Only in Case:  	 2.750 	 hsa-miR-154-3p is not DE, hsa-miR-487a-3p is DOWN 	 50.00 	 2 	 MMP16 	 21.74 	 ['8', 'hsa-miR-154-3p', 'hsa-miR-487a-3p', 'CHAF1B', 'TRIM66', 'FAM217B', 'MAP1B', 'MAPK1', 'GID4', 'PRKAA1', 'MMP16']
Only in Control:  	 3.522 	 hsa-miR-20a-5p is not DE, hsa-miR-21-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 STAT3,TGFBR2 	 22.22 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-21-5p', 'hsa-miR-519d-3p', 'TNFRSF10B', 'GID4', 'TPRG1L', 'YOD1', 'RAB22A', 'BTG2', 'TGFBR2', 'PTEN', 'STAT3']
Only in Control:  	 3.170 	 hsa-miR-148a-3p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CNOT4 	 22.22 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-148a-3p', 'hsa-miR-519d-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Case:  	 3.170 	 hsa-miR-148a-3p is not DE, hsa-miR-148b-3p is UP, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 CNOT4 	 22.22 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-148a-3p', 'hsa-miR-148b-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Control:  	 4.106 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-195-5p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 6.098 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE 	 33.33 	 3 	 CCND1,CSNK1A1,MASTL,MECP2,MIDN,RORA,ZBTB18 	 53.85 	 ['13', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-155-5p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1', 'TP53INP1']
